Time[s],Speed[km/h],RPM[rpm],MAF[g/s],Throttle[%]
0,0,0,0,0
1,0,728.75,0,10.19607843
2,0,694.5,0,17.25490196
3,0,807,0,17.25490196
4,0,1618.75,0,15.68627451
5,5,1101.5,0,16.8627451
6,5,1500,0,17.64705882
7,7,1275,0,10.19607843
8,7,1809.25,0,20.39215686
9,7,1755.25,0,19.21568627
10,9,1175,0,18.43137255
11,11,1017,0,18.43137255
12,13,1017,0,18.03921569
13,17,1210,0,16.47058824
14,17,1332.75,0,14.90196078
15,21,1369.5,0,11.37254902
16,21,1305.25,0,14.50980392
17,19,1225,0,14.50980392
18,18,1221.75,0,16.47058824
19,18,1241.25,0,14.11764706
20,20,1228.75,0,10.19607843
21,17,1108.5,0,10.19607843
22,16,1097.5,0,13.7254902
23,16,1105.25,0,13.33333333
24,18,1126.5,0,15.68627451
25,18,1213.25,0,17.25490196
26,17,1338.25,0,18.82352941
27,19,1338.25,0,17.64705882
28,21,1432,0,17.64705882
29,23,1487.5,0,17.25490196
30,22,1570.25,0,17.25490196
31,24,1634.25,0,16.07843137
32,26,1641.25,0,18.82352941
33,24,1646,0,18.82352941
34,25,1663.25,0,18.82352941
35,26,1591.25,0,20
36,23,1557,0,21.17647059
37,23,1533.5,0,20
38,22,1530.25,0,19.60784314
39,22,1410,0,10.19607843
40,22,1253,0,10.19607843
41,20,1134.25,0,10.19607843
42,18,988.25,0,10.19607843
43,17,877.25,0,10.19607843
44,14,877.25,0,17.25490196
45,13,962.5,0,10.19607843
46,14,899,0,15.29411765
47,13,855.25,0,21.96078431
48,14,1000.75,0,21.96078431
49,16,1196.75,0,21.96078431
50,19,1405.25,0,21.96078431
51,21,1493.75,0,16.47058824
52,22,1537.5,0,16.47058824
53,24,1657.75,0,19.21568627
54,26,1763.25,0,18.82352941
55,26,1751.5,0,14.90196078
56,27,1721,0,14.90196078
57,27,1689,0,14.90196078
58,26,1650,0,13.7254902
59,25,1650,0,18.43137255
60,26,1705.25,0,19.60784314
61,26,1834.25,0,17.25490196
62,28,1930.25,0,16.8627451
63,28,1950.75,0,16.8627451
64,29,1958.5,0,18.03921569
65,29,2009.25,0,18.03921569
66,31,2031.25,0,16.8627451
67,30,1944.5,0,11.76470588
68,29,1835.75,0,10.19607843
69,26,1702.25,0,10.19607843
70,25,1527.25,0,10.19607843
71,21,1382,0,10.19607843
72,20,1232.75,0,10.19607843
73,20,867.75,0,10.19607843
74,18,715.5,0,10.19607843
75,17,757,0,10.19607843
76,15,757,0,10.19607843
77,13,858.5,0,10.19607843
78,12,844.5,0,14.50980392
79,12,773.25,0,16.07843137
80,14,962.5,0,12.94117647
81,16,1158.5,0,12.94117647
82,18,1248.25,0,12.94117647
83,20,1384.25,0,16.07843137
84,22,1536.5,0,16.07843137
85,22,1620.25,0,14.90196078
86,25,1625.75,0,10.19607843
87,24,1560.75,0,10.19607843
88,23,1507,0,10.19607843
89,23,1489.75,0,12.15686275
90,22,1489.75,0,10.19607843
91,23,1447.5,0,10.19607843
92,22,1367.75,0,10.19607843
93,21,1367.75,0,10.19607843
94,21,1271.75,0,10.19607843
95,19,1189,0,10.19607843
96,17,1117,0,10.19607843
97,16,1011.5,0,13.7254902
98,15,1025,0,16.47058824
99,15,1085.75,0,16.47058824
100,16,1176.5,0,14.90196078
101,19,1217.75,0,14.90196078
102,18,1250.75,0,14.50980392
103,20,1236.5,0,12.54901961
104,18,1192.75,0,12.54901961
105,18,1157,0,12.54901961
106,17,1108.5,0,12.54901961
107,17,1086.5,0,12.54901961
108,16,1053.75,0,12.54901961
109,15,1032.75,0,12.54901961
110,17,1032.75,0,12.54901961
111,15,1013.25,0,14.11764706
112,15,1031.25,0,13.33333333
113,16,1058.5,0,11.76470588
114,17,1039,0,10.19607843
115,15,971,0,10.19607843
116,14,885,0,10.19607843
117,12,778.75,0,10.19607843
118,10,789.75,0,10.19607843
119,7,793.75,0,10.19607843
