Time[s],Speed[km/h],RPM,Coolant_temperature[degC],MAF,Air_Status,Intake_pressure,THROTTLE_POSITION
0,0,0,0,0,0,0,0
1,0,688.25,89,0,0,0,10.19607843
2,0,674,89,0,0,0,10.19607843
3,0,671.75,89,0,0,0,10.19607843
4,0,659.25,89,0,0,0,16.8627451
5,0,1002.25,89,0,0,0,16.8627451
6,0,2130.25,89,0,0,0,20
7,7,1278.75,90,0,0,0,19.60784314
8,11,1684.25,90,0,0,0,20
9,15,2132.75,90,0,0,0,20
10,17,2303,90,0,0,0,17.25490196
11,17,1687.5,90,0,0,0,10.19607843
12,17,1090.5,90,0,0,0,12.15686275
13,17,1102.25,90,0,0,0,12.15686275
14,16,1180.25,90,0,0,0,16.8627451
15,16,1357,90,0,0,0,20
16,20,1357,90,0,0,0,19.21568627
17,22,1513.25,90,0,0,0,21.96078431
18,22,1699,90,0,0,0,20
19,27,1841.25,90,0,0,0,16.07843137
20,27,1861.5,90,0,0,0,16.07843137
21,28,1872.5,90,0,0,0,20.78431373
22,29,1979.5,90,0,0,0,20.78431373
23,31,2080.25,90,0,0,0,21.96078431
24,31,2120.25,90,0,0,0,22.35294118
25,32,1989.75,90,0,0,0,19.60784314
26,29,1816.25,90,0,0,0,14.90196078
27,26,1719.5,90,0,0,0,18.43137255
28,25,1611.5,90,0,0,0,10.19607843
29,23,1343.75,90,0,0,0,10.19607843
30,20,1104.5,90,0,0,0,10.19607843
31,20,982,90,0,0,0,10.19607843
32,15,982,90,0,0,0,10.19607843
33,15,850,90,0,0,0,10.19607843
34,13,769.5,90,0,0,0,10.19607843
35,11,668.75,90,0,0,0,16.8627451
36,10,704.5,90,0,0,0,19.21568627
37,12,860,90,0,0,0,27.45098039
38,14,1096,90,0,0,0,34.90196078
39,18,1349,90,0,0,0,34.90196078
40,21,1622.5,90,0,0,0,38.82352941
41,26,1918.75,90,0,0,0,36.07843137
42,30,2192.75,90,0,0,0,25.09803922
43,34,2317,90,0,0,0,20.78431373
44,34,1746.75,89,0,0,0,10.19607843
45,35,1663.25,89,0,0,0,28.23529412
46,37,1727.25,89,0,0,0,16.47058824
47,37,1671,89,0,0,0,10.19607843
48,36,1673.25,89,0,0,0,17.64705882
49,37,1673.25,89,0,0,0,13.7254902
50,36,1644.5,89,0,0,0,10.19607843
51,36,1598.25,89,0,0,0,10.19607843
52,34,1509.25,89,0,0,0,10.19607843
53,33,1411.5,89,0,0,0,10.19607843
54,30,1344.5,89,0,0,0,10.19607843
55,29,1261.5,89,0,0,0,10.19607843
56,27,873.25,89,0,0,0,10.19607843
57,25,1489,89,0,0,0,10.19607843
58,25,1363.25,88,0,0,0,10.19607843
59,23,976.5,88,0,0,0,10.19607843
60,19,976.5,88,0,0,0,10.19607843
61,14,871,88,0,0,0,21.56862745
62,13,974,88,0,0,0,21.56862745
63,16,1247.5,88,0,0,0,22.35294118
64,21,1595.25,88,0,0,0,20.39215686
65,27,1905.25,87,0,0,0,14.90196078
66,29,2013.25,87,0,0,0,14.11764706
67,29,2067,87,0,0,0,10.19607843
68,31,1994.5,87,0,0,0,10.19607843
69,29,1944.5,87,0,0,0,10.19607843
70,29,1901.5,87,0,0,0,10.19607843
71,27,1834.25,87,0,0,0,10.19607843
72,28,1746.75,87,0,0,0,10.19607843
73,25,1646.75,87,0,0,0,10.19607843
74,24,1531.25,87,0,0,0,13.33333333
75,24,1080.25,87,0,0,0,10.19607843
76,24,1157.75,87,0,0,0,30.98039216
77,25,1157.75,86,0,0,0,31.76470588
78,27,1290.5,86,0,0,0,32.15686275
79,29,1423.25,86,0,0,0,25.09803922
80,31,1563.25,86,0,0,0,18.43137255
81,34,1611.5,86,0,0,0,10.19607843
82,36,1589.75,86,0,0,0,10.19607843
83,34,1503,86,0,0,0,10.19607843
84,33,1417.75,86,0,0,0,10.19607843
85,30,1310,86,0,0,0,10.19607843
86,27,1142,86,0,0,0,10.19607843
87,23,644.5,86,0,0,0,10.19607843
88,15,873.25,85,0,0,0,10.19607843
89,10,722.5,85,0,0,0,10.19607843
90,8,791.25,85,0,0,0,10.19607843
91,5,777.25,85,0,0,0,10.19607843
92,5,789,85,0,0,0,10.19607843
