Time[s];bearing;ele;hdop;heading;lat;lon;speed [m/s];time;speed [km/h]
1;352.1;112.5;6.7;0;39.6328324;22.4139978;1;2023-02-15T14:38:01Z;3.6
2;;112.5;7.2;0;39.6328292;22.4140081;0;2023-02-15T14:38:02Z;0
3;;112.5;7.7;0;39.6328255;22.414017;0;2023-02-15T14:38:02Z;0
4;;112.5;7.7;0;39.6328234;22.4140224;0;2023-02-15T14:38:03Z;0
5;;112.5;8.6;0;39.6328277;22.4140432;0;2023-02-15T14:38:04Z;0
6;;112.5;9.9;0;39.6328315;22.4140493;0;2023-02-15T14:38:05Z;0
7;;112.5;10.4;0;39.6328329;22.4140499;0;2023-02-15T14:38:06Z;0
8;;112.5;10;0;39.6328334;22.4140505;0;2023-02-15T14:38:07Z;0
9;;112.5;9.4;0;39.6328334;22.4140496;0;2023-02-15T14:38:08Z;0
10;;112.5;9.2;0;39.6328331;22.4140468;;2023-02-15T14:38:09Z;0
11;;112.5;8.6;0;39.6328387;22.4140557;0;2023-02-15T14:38:09Z;0
12;;112.5;8.4;0;39.6328381;22.4140545;0;2023-02-15T14:38:10Z;0
13;;112.5;7.9;0;39.6328382;22.4140541;0;2023-02-15T14:38:11Z;0
14;;112.5;7.6;0;39.632838;22.4140527;0;2023-02-15T14:38:12Z;0
15;;112.5;6.8;0;39.6328296;22.4140236;0.1;2023-02-15T14:38:13Z;0.36
16;247.4;112.5;6;0;39.6328268;22.4140128;0.2;2023-02-15T14:38:14Z;0.72
17;258.4;112.5;5.6;0;39.6328269;22.4140117;0.1;2023-02-15T14:38:15Z;0.36
18;;112.5;5.5;0;39.6328272;22.4140127;0;2023-02-15T14:38:16Z;0
19;;112.5;5.1;0;39.6328273;22.414013;0;2023-02-15T14:38:17Z;0
20;;112.5;4.6;0;39.6328274;22.4140133;0;2023-02-15T14:38:18Z;0
21;;112.5;4.6;0;39.6328257;22.4140114;0.1;2023-02-15T14:38:19Z;0.36
22;42.3;112.5;4.6;0;39.6328285;22.4140146;0.3;2023-02-15T14:38:20Z;1.08
23;43.2;112.5;4.6;0;39.6328295;22.4140159;0.2;2023-02-15T14:38:21Z;0.72
24;45.7;112.5;4.6;0;39.6328299;22.4140167;0.2;2023-02-15T14:38:22Z;0.72
25;;112.5;4.7;0;39.6328284;22.414015;0;2023-02-15T14:38:23Z;0
26;;112.5;4.9;0;39.6328274;22.414014;0;2023-02-15T14:38:24Z;0
27;;112.5;5;0;39.6328272;22.4140137;0;2023-02-15T14:38:25Z;0
28;;112.5;5.2;0;39.6328271;22.4140135;0;2023-02-15T14:38:26Z;0
29;;112.5;5.5;0;39.6328259;22.4140123;0.1;2023-02-15T14:38:27Z;0.36
30;;112.5;5.7;0;39.6328254;22.414012;0.1;2023-02-15T14:38:28Z;0.36
31;;112.5;6.1;0;39.6328251;22.4140118;0;2023-02-15T14:38:29Z;0
32;;112.5;6.5;0;39.632825;22.4140119;0;2023-02-15T14:38:30Z;0
33;;112.5;6.6;0;39.632825;22.414012;0;2023-02-15T14:38:31Z;0
34;;112.5;7;0;39.6328249;22.414012;0;2023-02-15T14:38:32Z;0
35;;112.5;7.4;0;39.6328248;22.414012;0;2023-02-15T14:38:33Z;0
36;;112.5;7.6;0;39.6328247;22.4140119;0;2023-02-15T14:38:34Z;0
37;;112.5;7.7;0;39.6328249;22.4140123;0;2023-02-15T14:38:35Z;0
38;;112.5;7.8;0;39.6328251;22.4140126;0;2023-02-15T14:38:36Z;0
39;277.9;112.5;7.6;0;39.6328295;22.4140143;0.2;2023-02-15T14:38:37Z;0.72
40;236.9;112.5;7.3;0;39.6328326;22.4140201;0.4;2023-02-15T14:38:38Z;1.44
41;323.2;112.5;6.9;0;39.6328526;22.4140221;0.9;2023-02-15T14:38:39Z;3.24
42;338.1;112.5;6.7;0;39.6328659;22.41401;1.3;2023-02-15T14:38:40Z;4.68
43;6;112.5;6.6;0;39.632885;22.414018;2.4;2023-02-15T14:38:41Z;8.64
44;3.1;112.5;6.3;0;39.6329026;22.4140281;2.3;2023-02-15T14:38:42Z;8.28
45;9;112.5;6.8;0;39.6329166;22.4140303;2.2;2023-02-15T14:38:43Z;7.92
46;10.2;112.4;8.2;0;39.6329416;22.4140414;2.3;2023-02-15T14:38:44Z;8.28
47;10.8;112.4;8.6;0;39.6329524;22.4140463;2.3;2023-02-15T14:38:44Z;8.28
48;7.2;112.4;9.2;0;39.6329723;22.4140497;3.3;2023-02-15T14:38:45Z;11.88
49;6.7;112.4;9.9;0;39.6329915;22.4140519;3.7;2023-02-15T14:38:45Z;13.32
50;7.2;112.4;10.6;0;39.6330287;22.4140586;4.2;2023-02-15T14:38:46Z;15.12
51;9.8;112.4;11.4;0;39.6330362;22.4140698;4.3;2023-02-15T14:38:46Z;15.48
52;11.9;112.4;12.2;0;39.6330656;22.4140861;4.5;2023-02-15T14:38:47Z;16.2
53;11.7;112.4;12.9;0;39.6331061;22.4141116;4.6;2023-02-15T14:38:48Z;16.56
