TIME[s],SPEED[km/h],RPM[rpm],COOLANT],MAF[g/s],THROTTLE POSITION[%],EngineLoad[%]
0.5,0,617.75,0,0,0,0
1,0,617.75,89,1.39,9.803921569,0
1.5,0,619.5,89,1.39,9.803921569,17.25490196
2,0,619.5,89,1.39,9.803921569,17.25490196
2.5,0,619.5,89,1.39,9.803921569,17.64705882
3,0,635.75,89,1.39,9.803921569,17.64705882
3.5,0,635.75,89,1.4,9.803921569,17.64705882
4,0,635.75,89,1.4,9.803921569,16.8627451
4.5,0,655.25,89,1.4,9.803921569,16.8627451
5,0,655.25,89,1.4,9.803921569,22.74509804
5.5,0,709.25,89,1.4,9.803921569,22.74509804
6,0,709.25,89,7.01,21.17647059,22.74509804
6.5,0,2150,89,7.01,21.17647059,35.29411765
7,0,2150,89,7.01,21.17647059,35.29411765
7.5,0,2150,89,4.5,16.07843137,22.35294118
8,0,1340.5,89,4.5,16.07843137,22.35294118
8.5,0,1340.5,89,4.48,16.07843137,22.35294118
9,0,1340.5,89,4.48,16.07843137,30.98039216
9.5,4,1153.75,89,4.48,16.07843137,30.98039216
10,4,1153.75,89,4.71,16.07843137,31.37254902
10.5,9,1275.75,89,4.71,16.07843137,31.37254902
11,9,1275.75,89,4.7,16.07843137,31.37254902
11.5,9,1275.75,89,4.7,16.07843137,25.88235294
12,11,1555.25,89,4.7,16.07843137,25.88235294
12.5,11,1555.25,89,4.78,16.07843137,22.35294118
13,11,1775,89,4.78,16.07843137,22.35294118
13.5,13,1775,89,4.81,16.07843137,22.35294118
14,13,1775,89,4.81,16.47058824,20.39215686
14.5,16,1942.75,89,4.81,16.47058824,20.39215686
15,16,1942.75,89,5.09,16.47058824,20.39215686
15.5,15,2057.75,89,5.09,16.47058824,20.39215686
16,15,2057.75,89,5.37,16.47058824,20.39215686
16.5,15,2057.75,89,5.37,16.8627451,20
17,16,2159.25,89,5.37,16.8627451,20
17.5,16,2159.25,89,2.01,10.19607843,8.235294118
18,16,1394.5,89,2.01,10.19607843,8.235294118
18.5,18,1394.5,89,2.03,10.19607843,8.235294118
19,18,1394.5,89,2.03,10.19607843,14.11764706
19.5,16,1055.25,89,2.03,10.19607843,14.11764706
20,16,1055.25,90,1.82,10.19607843,14.11764706
20.5,16,947.5,90,1.82,10.19607843,14.90196078
21,15,947.5,90,1.82,10.19607843,14.90196078
21.5,15,947.5,90,1.82,10.19607843,15.68627451
22,14,878.75,90,1.82,10.19607843,15.68627451
22.5,14,878.75,90,1.79,10.19607843,15.68627451
23,14,799,90,1.79,10.19607843,16.8627451
23.5,12,799,90,1.76,10.19607843,16.8627451
24,12,799,90,1.76,10.19607843,18.03921569
24.5,12,741.25,90,1.76,10.19607843,18.03921569
25,12,741.25,90,1.78,10.19607843,18.03921569
25.5,12,741.25,90,1.78,10.19607843,19.60784314
26,11,742,90,1.78,10.19607843,19.60784314
26.5,11,742,90,1.76,10.19607843,17.64705882
27,8,767,90,1.76,10.19607843,17.64705882
27.5,8,767,90,1.76,10.19607843,17.64705882
28,8,767,90,1.76,10.19607843,18.82352941
28.5,5,752.25,90,1.78,10.19607843,18.82352941
29,5,752.25,90,1.78,10.19607843,18.03921569
29.5,4,791.25,90,1.78,10.19607843,18.03921569
30,4,791.25,90,1.96,12.15686275,18.03921569
30.5,4,791.25,90,1.96,12.15686275,31.76470588
31,4,572.5,90,1.96,12.15686275,31.76470588
31.5,4,572.5,90,2.45,12.94117647,30.98039216
32,6,722.5,90,2.45,12.94117647,30.98039216
